PROYECTO;ETAPA;MANZANA;LOTE;AREA_m2;PRECIO_CONTADO_SOLES;PRECIO_CONTADO_DOLARES;PRECIO_CONTADO_DSCTO;12_MESES_SOLES;24_MESES_SOLES;12_MESES_DOLARES;24_MESES_DOLARES
OASIS 1 (HUACHO 1);1;E;22;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;23;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;24;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;25;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;26;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;27;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;28;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;F;1;120;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
OASIS 1 (HUACHO 1);1;F;2;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;F;3;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;F;4;120;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
OASIS 1 (HUACHO 1);1;F;5;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;F;6;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;F;7;120;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
OASIS 1 (HUACHO 1);1;F;8;120;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
OASIS 1 (HUACHO 1);1;F;9;120;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
OASIS 1 (HUACHO 1);1;F;10;120;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
OASIS 1 (HUACHO 1);1;F;11;120;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
